名称,来源,页码,体型,类型,阵营,AC,HP,速度,力量,敏捷,体质,智力,感知,魅力,豁免骰,技能,伤害易伤,伤害抗性,伤害免疫,状态免疫,感官,语言,CR,特质,动作,附赠动作,反应,传奇动作,神话动作,巢穴动作,区域效应,环境,宝藏
五臂巨魔,WDMM,154,大型,巨人,混乱 邪恶,15 (天生护甲),84 (8d10 + 40),30 尺,18,13,20,7,9,7,,察觉 +2,,,,,"黑暗视觉 60 尺, 被动察觉 12",巨人语,"8 (XP 3,900; PB +3)","再生 Regeneration. 巨魔在它的回合开始时回复10点生命值。如果巨魔受到强酸或者火焰伤害，则该特质在它的下一回合里无法生效。如果巨魔以0生命值开始其自己回合且无法使用再生，则巨魔死亡。

敏锐嗅觉 Keen Smell. 巨魔依赖嗅觉进行的感知（察觉）检定具有优势。","多重攻击 Multiattack. 巨魔进行六次攻击：一次用咬击，五次用爪击。

啃咬 Bite. 近战武器攻击: 命中+7，触及5尺，单一目标。命中: 7（1d6 + 4）点穿刺伤害。

爪击 Claw. 近战武器攻击: 命中+7，触及5尺，单一目标。命中: 11 (2d6 + 4) 点挥砍伤害。",,,,,,,,
亚比莎白龙魔,MPMM,41,中型,邪魔 (魔鬼),守序 邪恶,15 (天生护甲),68 (8d8 + 32),"30 尺, 飞行 40 尺",16,11,18,11,12,13,"Str +6, Con +7",,,"钝击, 穿刺, 和 挥砍 非银质武器且非魔法攻击的","寒冷, 火焰, 毒素",中毒,"黑暗视觉 120 尺, 被动察觉 11","龙语, 炼狱语, 心灵感应 120 尺","6 (XP 2,300; PB +3)","魔法抗性 Magic Resistance. 亚比莎龙魔在对抗法术及其他魔法效应时进行的豁免检定具有优势。

魔鬼视界 Devil's Sight. 魔法黑暗不会阻碍亚比莎黑龙魔的黑暗视觉。

鲁莽 Reckless. 在其回合开始时，亚比莎龙魔可以在该回合中获得所有近战武器攻击检定的优势，但针对它的攻击检定具有优势直到其下个回合开始。","多重攻击 Multiattack. 亚比莎龙魔进行一次啃咬攻击，一次爪抓攻击和一次长剑攻击。

啃咬 Bite. 近战武器攻击: 命中+6，触及5尺，单一目标。命中: 5（1d4 + 3）穿刺伤害加3（1d6）冷冻伤害。

爪击 Claw. 近战武器攻击: 命中+6，触及5尺，单一目标。命中: 8（1d10 + 3）挥砍伤害。

长剑 Longsword. 近战武器攻击: 命中+6，触及5尺，单一目标。命中: 7（1d8 + 3）力场伤害，或双手使用时8（1d10 + 3）力场伤害。",,恶毒报复 Vicious Reprisal. 作为对受到伤害的回应，亚比莎龙魔对5尺内的一个随机生物进行一次啃咬攻击。如果没有生物在触及范围内，亚比莎龙魔向其能看见的敌人移动至多一半速度，且不会引发借机攻击。,,,,,城市,
亚比莎红龙魔,MPMM,40,中型,邪魔 (魔鬼),守序 邪恶,22 (天生护甲),289 (34d8 + 136),"30 尺, 飞行 50 尺",23,16,19,14,15,19,"Str +12, Con +10, Wis +8","威吓 +10, 察觉 +8",,"寒冷; 钝击, 穿刺, 和 挥砍 非银质武器且非魔法攻击的","火焰, 毒素","中毒, 恐慌","黑暗视觉 120 尺, 被动察觉 18","龙语, 炼狱语, 心灵感应 120 尺","19 (XP 22,000; PB +6)","魔法抗性 Magic Resistance. 亚比莎龙魔在对抗法术及其他魔法效应时进行的豁免检定具有优势。

魔鬼视界 Devil's Sight. 魔法黑暗不会阻碍亚比莎黑龙魔的黑暗视觉。","多重攻击 Multiattack. 亚比莎龙魔进行一次啃咬攻击和一次爪抓攻击，并且它可以使用骇人威仪或煽动狂热。

啃咬 Bite. 近战武器攻击: 命中+12，触及5尺，单一目标。命中: 22（3d10 + 6）穿刺伤害加38（7d10）火焰伤害。

爪击 Claw. 近战武器攻击: 命中+12，触及5尺，单一目标。命中: 17（2d10 + 6）力场伤害加11（2d10）火焰伤害。

骇人威仪 Frightful Presence. 亚比莎龙魔选择的120尺内且意识到其存在的每个生物必须成功通过DC 18的感知豁免否则对其陷入恐慌状态1分钟。生物可以在每个自己回合结束时再次进行豁免检定，成功则结束对自己的影响。如果生物的豁免检定成功或效果对其结束，该生物在接下来的24小时内免疫该亚比莎龙魔的骇人威仪。

煽动狂热 Incite Fanaticism. 亚比莎龙魔选择其60尺内至多四个能看见它的其他生物。直到亚比莎龙魔的下个回合开始前，这些生物进行攻击检定具有优势且不会陷入恐慌。

龙后之力 Power of the Dragon Queen. 亚比莎龙魔以它120尺内能看见的一条龙为目标。该龙必须进行一次DC 18的魅力豁免。一条彩色龙进行此豁免时具有劣势。豁免成功，目标在1小时内免疫该亚比莎龙魔的龙后之力。豁免失败，目标被该亚比莎龙魔魅惑1小时。当以此方式被魅惑时，目标将亚比莎龙魔视为值得听从和保护的值得信赖的朋友。如果亚比莎龙魔或其同伴对目标造成伤害，此效果结束。",,,,,,,"城市, 山地",
亚比莎绿龙魔,MPMM,40,中型,邪魔 (魔鬼),守序 邪恶,18 (天生护甲),195 (26d8 + 78),"30 尺, 飞行 40 尺",12,17,16,17,12,19,"Int +8, Cha +9","欺瞒 +9, 洞悉 +6, 察觉 +6, 游说 +9",,"寒冷; 钝击, 穿刺, 和 挥砍 非银质武器且非魔法攻击的","火焰, 毒素",中毒,"黑暗视觉 120 尺, 被动察觉 16","龙语, 炼狱语, 心灵感应 120 尺","15 (XP 13,000; PB +5)","魔法抗性 Magic Resistance. 亚比莎龙魔在对抗法术及其他魔法效应时进行的豁免检定具有优势。

魔鬼视界 Devil's Sight. 魔法黑暗不会阻碍亚比莎黑龙魔的黑暗视觉。","多重攻击 Multiattack. 亚比莎龙魔进行两次魔性利爪攻击，或进行一次魔性利爪攻击并使用施法。

施法. 该亚比莎龙魔施放以下法术之一，不需要材料成分并使用魅力作为施法属性（法术豁免DC 17）：

随意: 变身术, 高等幻影

每项3/日: 魅惑类人, 侦测思想, 恐惧术

每项1/日: 困惑术, 支配类人, 群体暗示术

魔性利爪 Fiendish Claw. 近战武器攻击: 命中+8，触及5尺，单一目标。命中: 12（2d8 + 3）力场伤害。如果目标是生物，它必须成功通过DC 16的体质豁免否则受到16（3d10）毒药伤害并陷入中毒状态1分钟。中毒的目标可以在每个回合结束时重复进行豁免检定，成功则结束自身的效果。",,,,,,,城市,
亚比莎蓝龙魔,MPMM,39,中型,"邪魔 (魔鬼, 法师)",守序 邪恶,19 (天生护甲),202 (27d8 + 81),"30 尺, 飞行 50 尺",15,14,17,22,23,18,"Int +12, Wis +12",奥秘 +12,,"寒冷; 钝击, 穿刺, 和 挥砍 非银质武器且非魔法攻击的","火焰, 闪电, 毒素",中毒,"黑暗视觉 120 尺, 被动察觉 16","龙语, 炼狱语, 心灵感应 120 尺","17 (XP 18,000; PB +6)","魔法抗性 Magic Resistance. 亚比莎龙魔在对抗法术及其他魔法效应时进行的豁免检定具有优势。

魔鬼视界 Devil's Sight. 魔法黑暗不会阻碍亚比莎黑龙魔的黑暗视觉。","多重攻击 Multiattack. 亚比莎蓝龙魔进行三次啃咬或闪电击攻击。

啃咬 Bite. 近战武器攻击: +8，触及5尺，单一目标。命中: 13（2d10 + 2）穿刺伤害外加14（4d6）闪电伤害。

施法. 亚比莎蓝龙魔施展以下法术之一，使用智力作为施法关键属性（法术豁免DC 20）：

随意: 易容术, 法师之手, 次级幻象

每项2/日: 魅惑类人, 解除魔法, 高等隐形术, 力场墙

闪电打击 Lightning Strike. 远程法术攻击: 命中+12，范围120尺，单一目标。命中: 36（8d8）闪电伤害。",传送术 Teleport. 该亚比莎龙魔连同其穿着或携带的装备一起传送至一个它可见的未占据空间，距离最远30尺。,,,,,,"城市, 海岸",
亚比莎黑龙魔,MPMM,38,中型,邪魔 (魔鬼),守序 邪恶,15 (天生护甲),58 (9d8 + 18),"30 尺, 飞行 40 尺",14,17,14,13,16,11,"Dex +6, Wis +6","察觉 +6, 隐匿 +6",,"寒冷; 钝击, 穿刺, 和 挥砍 非银质武器且非魔法攻击的","强酸, 火焰, 毒素",中毒,"黑暗视觉 120 尺, 被动察觉 16","龙语, 炼狱语, 心灵感应 120 尺","7 (XP 2,900; PB +3)","魔法抗性 Magic Resistance. 亚比莎龙魔在对抗法术及其他魔法效应时进行的豁免检定具有优势。

魔鬼视界 Devil's Sight. 魔法黑暗不会阻碍亚比莎黑龙魔的黑暗视觉。","多重攻击 Multiattack. 亚比莎龙魔进行一次啃咬攻击和两次弯刀攻击。

啃咬 Bite. 近战武器攻击: 命中+6，触及 5 尺，单一目标。命中: 8（1d10 + 3）穿刺伤害加 9（2d8）强酸伤害。

弯刀 Scimitar. 近战武器攻击: 命中+6，触及5尺，单一目标。命中: 6（1d6 + 3）力场伤害。

渗人黑暗 (充能 6). 亚比莎龙魔在它120尺范围内的一点施放黑暗术，无需法术成分或专注。感知是此法术的施法属性。当法术持续时，亚比莎龙魔可以以一个附赠动作将黑暗区域移动最多60尺。",幽影隐匿 Shadow Stealth. 在微光光照或黑暗环境中，该亚比莎龙魔执行躲藏动作。,,,,,,城市,
亡命恶犬,MM'25,91,中型,怪兽,中立 邪恶,12,39 (6d8 + 12),40 尺,15,14,14,3,13,6,,"察觉 +5, 隐匿 +4",,,,"恐慌, 昏迷, 目盲, 耳聋, 震慑, 魅惑","黑暗视觉 120 尺, 被动察觉 15",—,1 (XP 200; PB +2),,"多重攻击 Multiattack. 亡命恶犬发动两次啃咬攻击。

啃咬 Bite. 近战攻击检定: ：+4，触及 5 尺。命中: ：4（ 1d4 + 2 ）穿刺伤害。若目标为生物，其承受以下效应。体质 豁免检定: ：DC 12。First 失败: ：目标陷入中毒状态。中毒期间，目标的生命值上限在完成长休时无法恢复，且每 24 小时重复豁免，成功则终止其身上的该效应。后续失败：中毒目标的生命值上限减少 5（ 1d10 ）。",,,,,,,荒漠,
亡眼暴君,MM'25,95,大型,亡灵 (眼魔),守序 邪恶,19,195 (26d10 + 52),"5 尺, 飞行 40 尺 (悬浮)",18,14,14,19,15,19,"Con +7, Wis +7",察觉 +12,,,毒素,"中毒, 倒地, 力竭, 石化, 魅惑, 麻痹","黑暗视觉 120 尺, 被动察觉 22","深潜语, 地底通用语","14 (XP 11,500, 或 13,000在巢穴中时; PB +5)",传奇抗性（3/日，或巢穴内4/日） Legendary Resistance. 若亡眼暴君豁免失败，可以将其改为豁免成功。,"多重攻击 Multiattack. 亡眼暴君使用三次眼波射线。

啃咬 Bite. 近战攻击检定: +9，触及 5 尺。命中: 13（ 2d8 + 4 ）穿刺伤害。

眼波射线 Eye Rays. 亡眼暴君随机向一名位于其 120 尺内的其可见的目标从下列魔法射线中射出一道（掷 1d10；如果亡眼暴君在本回合已经使用过该射线则重新掷骰）：

1: 魅惑射线. 感知 豁免检定: DC 17。失败: 13（ 3d8 ）心灵伤害，目标陷入魅惑状态，持续 1 小时或在其受到伤害时提前结束。成功: 仅半伤。

2: 麻痹射线. 体质 豁免检定: DC 17。失败: 目标陷入麻痹状态，并在其回合结束时重复豁免，成功则终止其身上的该效应。1 分钟后，其豁免自动成功。

3: 恐惧射线. 感知 豁免检定: DC 17。失败: 10（ 3d6 ）心灵伤害，且目标陷入恐慌状态直至其下个回合结束。成功: 仅半伤。

4: 缓慢射线. 体质 豁免检定: DC 17。失败: 18（4d8）暗蚀伤害。直至目标的下个回合结束，目标速度减半，无法执行反应，且目标在其回合中仅可以执行一个动作或一个附赠动作，但不能同时执行二者。成功: 仅半伤。

5：汲能射线. 体质 豁免检定: DC 17。失败: 16（ 3d10 ）毒素伤害，且目标陷入中毒状态直至其下个回合结束。中毒期间，目标无法恢复生命值。成功: 仅半伤。

6: 念力射线. 力量 豁免检定: DC 17（超巨型目标自动成功）。失败: 亡眼暴君将目标向任意方向移动至多 30 尺。目标陷入束缚状态直至亡眼暴君的下个回合开始，或在亡眼暴君陷入失能状态时提前结束。亡眼暴君还可以利用此射线对物件进行精细控制，例如操作工具、打开一扇门或打开容器。

7：睡眠射线. 感知 豁免检定: DC 17（此豁免构装或亡灵自动成功）。失败: 目标陷入昏迷昏迷状态，持续 1 分钟。若目标受到伤害或一名目标 5 尺内的生物以一个动作唤醒其，则状态结束。

8: 石化射线. 体质 豁免检定: DC 17。First 失败: 目标陷入束缚状态，在其下个回合结束时目标若仍处于束缚则重复豁免，成功则终止其身上的该效应。Second 失败: 目标陷入石化状态替代其束缚状态。

9：解离射线. 敏捷 豁免检定: DC 17。失败: 36（8d8）力场伤害。若目标是一件非魔法物件或魔法力场造物，则其上一处10尺立方区域内的部分被解离为尘埃。成功: 半伤。失败或成功: 若目标为生物且因此伤害生命值降至0，则该生物被解离为尘埃。

10：死亡射线. 敏捷 豁免检定: DC 17。失败: 55（10d10）暗蚀伤害。成功: 半伤。失败或成功: 若射线将目标生命值降至0，则目标死亡。",负能量锥域 Negative Energy Cone. 亡眼暴君的主眼向 150 尺的锥状区域内发出一道无法察觉的暗能量魔法波。直至亡眼暴君的下个回合开始，该区域内的生物无法恢复生命值。一具完整的类人生物尸体会立刻站起化为一具丧尸丧尸，该丧尸受亡眼暴君控制，使用与亡眼暴君一样的先攻并在其回合结束后立即执行回合。,,"切齿 Chomp. 亡眼暴君发动两次切齿攻击。

怒视 Glare. 亡眼暴君使用眼波射线。",,,"死亡暴君巢穴所在的区域因它的存在而扭曲，产生以下效果：

黯能萦绕. 每当在巢穴1英里范围内的生物因法术恢复生命值时，它恢复的生命值数量减少1d10。

视线恐惧症. 巢穴周围1英里内的生物感觉被注视。任何在巢穴1英里内完成短休的生物（不包括死亡暴君及其盟友）必须通过一次DC 15的感知豁免检定，否则无法从中获得任何益处。

如果死亡暴君死亡或将其巢穴移至他处，这些效果将立即结束。",幽暗地域,任何
人工生命体,MM'25,172,微型,构装,中立,13,4 (1d4 + 2),"20 尺, 飞行 40 尺",4,15,14,10,10,7,"Wis +2, Cha +0",,,,毒素,"中毒, 魅惑","黑暗视觉 60 尺, 被动察觉 10",理解通用语以及一门其他语言，但不会说,0 (XP 10; PB +2),心灵联结 Telepathic Bond. 只要人工生命体与其主人处于同一位面，双方就可以通过心灵感应交流。,啃咬 Bite. 近战攻击检定: +4，触及5尺。命中: 1点穿刺伤害，且目标受以下效果影响。体质 豁免检定: DC 12。失败: 目标陷入中毒状态直至人工生命体的下个回合结束。失败差值 5 或更多: 目标陷入中毒状态，持续1分钟。中毒期间，目标陷入昏迷状态，昏迷在其受到伤害时提前结束。,,,,,,,任何,
人马守望者,MM'25,67,大型,妖精,中立 善良,16,105 (14d10 + 28),50 尺,18,14,14,9,18,11,"Con +5, Wis +7","运动 +7, 自然 +5, 察觉 +7",,,,,被动察觉 17,"德鲁伊语, 精灵语, 木族语","7 (XP 2,900; PB +3)",,"多重攻击 Multiattack. 人马使用森林之杖或烈阳射线发动共计两次攻击。

森林之杖 Forest Staff. 近战攻击检定: ： +7，触及 5 尺。命中: ： 13（ 2d8 + 4 ）钝击伤害外加 14（ 4d6 ）毒素伤害。

施法. 人马施展以下一道法术，使用感知作为施法属性（法术豁免DC 15）：

随意: 德鲁伊伎俩, 动物交谈

烈阳射线 Sun Ray. 远程攻击检定: ： +7，射程 90 尺。命中: ： 14（3d6 + 4）光耀伤害，且目标陷入目盲状态直至人马的下个回合开始。",藤缠行迹 (充能 5–6) Entangling Trail. 人马移动至多等于其速度的距离且不会引发借机攻击。在人马移动过程中，位于人马 5 尺内的每名生物都会被选为一次以下效应的目标。力量 豁免检定: ： DC 15。失败: ： 11（ 2d6 + 4 ）钝击伤害，且目标陷入束缚状态，直至其下个回合结束。,,,,,,"位面, 妖精荒野, 森林, 草地","个体, 武备"
