名称,来源,页码,环阶,施法时间,持续时间,学派,范围,成分,职业,可选/变体 职业,子职,文本,升环施法
传讯术,PHB'24,298,戏法,动作,1 轮,变化,120 尺,"姿势, 材料 (一段铜线)","吟游诗人 (PHB'24), 奇械师 (EFA), 德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"大地 (PHB'14) 德鲁伊, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 月亮 (FRHoF) 吟游诗人, 自然 (PHB'14) 牧师, 自然 (PHB'14) 牧师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 力量(PSA) (PSA) 牧师, 力量(PSA) (PSA) 牧师","你用指向施法距离内的一名生物并低声说出一段信息。该目标（且只有该目标）会听到这段信息，并且可以用只有你能听见的低语回复你。

你可以隔着固态物件施展此法术，但你必须熟悉法术目标并知晓其就在阻挡物后方。魔法性的沉默效应，1 尺厚的石头、金属或木料，或是一片薄铅都可以阻挡此法术。",
传送术,PHB'24,331,7环,动作,立即,咒法,10 尺,声音,"吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","此法术立即将你和至多八名施法距离内你可见的自愿生物，或者施法距离内你可见的一个物件转移至你选择的目的地。如果目标为一个物件，则其必须为不超过大型，且不能被一名非自愿生物持握或携带。

你必须知道目的地，且目的地必须与你位于同一个存在位面。你对目的地的熟悉程度决定了你抵达目的地的成功率。DM骰1d100并参照传送结果表和其后的详述。

传送结果熟悉程度遇难相似区域偏离地点顺利抵达永久法阵———01-00相关物件———01-00非常熟悉01-0506-1314-2425-00偶尔见过01-3334-4344-5354-00见过一次或听过描述01-4344-5354-7374-00查无此地01-5051-00—— 熟悉程度 Familiarity. 表中熟悉程度一列的词汇解释如下：

""永久法阵"" 指某处你知道其印记序列的永久传送法阵。""相关物件""指你持有一件在过去六个月内从目标地点取来的物件，例如某个法师图书馆内的一本书。""非常熟悉"" 指你常去的地方，你仔细研究过的地方，或是你在施展该法术时能看见的地方。""偶尔见过"" 指你见过几次的地方，但你不是很熟悉。""见过一次或听过描述""指你只见过一次的地方，包括通过魔法看到的地点，或你从别人那里听来位置和外观的地点，比如从地图上看来的地点。""查无此地""指根本不存在的地点。也许你尝试探知敌人的密室但看到的只是幻象，或是你尝试传送至一个如今已不再存在的地点。 遇难 Mishap. 该法术不可控的魔法效果导致这次旅行特别艰难。尝试传送的所有生物（或目标物件）受到3d10点力场伤害，随后DM重骰d100并查阅上表来决定你们出现在哪里（你们可能再次遇难，而每次遇难都要承受该伤害）。

相似区域 Similar Area. 你和你的队伍（或目标物件）出现在一个和目的地外观或主题相似的不同地点。你出现在最近的相似地区。例如，如果你想回你自己的研究室去，则你可能会误打误撞出现在同一座城市其他法师的研究室里。

偏离地点 Off Target. 你和你的队伍（或目标物件）出现在目的地随机方向上2d12里距离的一点。骰1d8来判误差出现在目的地的哪个方向：1，正东；2，东南；3，正南；4，西南；5，正西；6，西北；7，正北；8，东北。

顺利抵达 On Target. 你和你的队伍（或目标物件）出现在你欲抵达的地点。",
传送法阵,PHB'24,332,5环,1 分钟,1 轮,咒法,10 尺,"声音, 材料 (价值 50+GP 的珍稀墨水，作为法术耗材)","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,制图师 (EFA) 奇械师,"施展该法术时，你在地上画出一个半径 5 尺的圆圈，并在其周围画出印记。这个圆形法阵将你所处的位置与一个你所选择的，与你处在同个位面上的永久传送法阵相连（你必须知道该法阵的印记序列）。圆圈中将打开一个发光的传送门，并持续开启到你的下一回合结束。任何进入传送门的生物将立即出现在目标法阵附 近5 尺内，如果该空间已被占据，则出现在最靠近目标法阵的未占据空间中。

许多大神殿、公会大厅和其他重要的场所都设有永久的传送法阵。这种法阵各有自己独一无二的印记序列，即按特定顺序排列的一串魔法符文。

你第一次获得施展该法术的能力时，你会习得物质位面上两个永久法阵的印记序列（由DM决定），随后你还可以在旅途中习得更多的印记序列。你只要花一分钟仔细研究一个新的印记序列就能够将其记录下来。

当你每日对同一地点连续施展该法术持续365天之后，将创造出一个永久的传送法阵。",
伪装术,PHB'24,314,5环,动作,8 小时,幻术,30 尺,"声音, 姿势","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"幻术师 (PHB'24) 法师, 幽域追踪者 (PHB'24) 游侠, 至高妖精 (PHB'24) 魔契师","你选择施法距离内你能看见的任意数量生物，为他们提供一个虚假外观。不愿意受该法术影响的目标可以进行一次魅力豁免，豁免成功则不受该法术影响。

你可以为不同目标提供同样或不同的外观。法术能改变生物的身体和装备外观。你可以让目标看起来身高有 1 尺的增减，看上去更轻或更重。目标的新形貌的肢体结构必须与目标原形相符，但你可以随意改变其他的外观特征。法术会持续至时间结束。

此法术产生的变化无法应对物理检查。比如，你用此法术为一个生物添了一顶帽子，那么现实物件会穿过帽子。

一个使用研究动作来检查目标的生物可以进行一次智力（调查）检定来对抗你的法术豁免DC。如果它成功了，它会意识到目标进行了伪装。",
位面转移,PHB'24,305,7环,动作,立即,咒法,触及,"声音, 姿势, 材料 (一根与一个存在位面调谐的价值 250+GP 的分叉金属棒)","德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24), 魔契师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","你和至多八名手牵着手形成一个圆圈的自愿生物被输送到一个不同的存在位面。你可以概括地指名一个目的地，比如火元素位面Plane of Fire的黄铜之城City of Brass，或九层地狱Nine Hells第二层迪斯帕特Dispater 的宫殿，按照DM的判断，你将出现在目的地里或其附近。

另外，如果你知道某个处于另一位面的传送法阵的印记序列，则该法术可以把你带到该法阵处。如果该传送法阵太小而装不下所有你传送的生物，则他们会出现在离传送法阵最近的未占据空间里。",
侦测善恶,PHB'24,261,1环,动作,"专注, 至多10 分钟",预言,自身,"声音, 姿势","圣武士 (PHB'24), 牧师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","在法术持续时间内，你定位距你 30 尺内任何异怪、天族、元素、妖精、邪魔、亡灵。你也可以感知到范围内是否具有激活的圣居法术并确定其位置。

此法术会被 1 尺厚的岩石、泥土或木头，1 寸厚的金属，或薄薄一层铅阻隔。",
侦测思想,PHB'24,262,2环,动作,"专注, 至多1 分钟",预言,自身,"声音, 姿势, 材料 (1 枚铜币)","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 旧日支配者 (PHB'24) 魔契师, 畸变 (PHB'24) 术士, 知识 (FRHoF) 牧师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 预言师 (PHB'24) 法师","你激活下述效应之一。直到法术结束为止，你可以在你随后的回合用一个魔法动作以激活下述任意效应之一。

感知思想 Sense Thoughts. 你感知距你 30 尺内，知晓语言或能够心灵感应的思想的存在。你并不会阅读这些思想，但你知道这里存在一名有理智的生物。

此法术会被 1 尺厚的岩石、泥土或木头，1 寸厚的金属，或薄薄一层铅阻隔。

读心 Read Thoughts. 选择一名距你 30 尺内的可见生物，或一名距你 30 尺内被感知思想侦测到的生物。你了解到此时目标最关心的事情。如果目标不知晓任何语言也不会心灵感应，则你不能得到任何信息。

在你的下一回合，用一个魔法魔法动作，你可以尝试深入目标的心灵。如果你选择这么做，目标进行一次感知豁免。豁免失败，则你了解到他的逻辑推理、情绪状态以及他头脑中的一些大事（比如忧虑、挚爱和仇恨的事物）。豁免成功，法术终止。无论哪种情况，目标都会知道你正在窥探其心灵，且直到你的注意力从它的心灵上移开为止，目标均可以在其回合内使用动作进行一次智力（奥秘）检定，对抗你的法术豁免DC，目标胜出对抗时，法术终止。",
侦测毒性和疾病,PHB'24,262,1环,动作,"专注, 至多10 分钟",预言 (仪式),自身,"声音, 姿势, 材料 (一片红豆杉叶)","圣武士 (PHB'24), 德鲁伊 (PHB'24), 游侠 (PHB'24), 牧师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","在法术持续时间内，你定位距你 30 尺内的毒药、有毒生物和魔法疫病。你可以感知到毒药、有毒生物和疫病的种类。

此法术会被 1 尺厚的岩石、泥土或木头，1 寸厚的金属，或薄薄一层铅阻隔。",
侦测魔法,PHB'24,262,1环,动作,"专注, 至多10 分钟",预言 (仪式),自身,"声音, 姿势","吟游诗人 (PHB'24), 圣武士 (PHB'24), 奇械师 (EFA), 德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 游侠 (PHB'24), 牧师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 知识 (FRHoF) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 预言师 (PHB'24) 法师","在法术持续时间内，你感受到距你 30 尺内的魔法效应。若你感知到了此类效应，则你可以用一个魔法动作以看到任何带有此魔法的可见生物或物件周围环绕着微弱的灵光，且若此魔法属于被法术创造的效应，则你可分辨出其所属的魔法学派。

此法术会被 1 尺厚的岩石、泥土或木头，1 寸厚的金属，或薄薄一层铅阻隔。",
信仰守卫,PHB'24,281,4环,动作,8 小时,咒法,30 尺,声音,牧师 (PHB'24),,"天界 (PHB'24) 魔契师, 奉献 (PHB'24) 圣武士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","一名大型灵体守护者出现在施法距离内一处由你指定的，你可见且未被占据的空间，并在法术持续时间内在该处悬浮。占据该空间的守护者是无敌的，并且会以适合你神祇或神系的形态出现。

任何敌人在一回合内首次进入距守护者 10 尺内或于其 10 尺内开始其回合时，必须进行一次敏捷豁免。豁免失败受到 20 点光耀伤害，豁免成功则伤害减半。守护者在造成总计 60 点伤害后随即消失。",
修复术,PHB'24,297,戏法,1 分钟,立即,变化,触及,"声音, 姿势, 材料 (两块天然磁石)","吟游诗人 (PHB'24), 德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24)",,"大地 (PHB'14) 德鲁伊, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 月亮 (FRHoF) 吟游诗人, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 自然 (PHB'14) 牧师, 自然 (PHB'14) 牧师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 力量(PSA) (PSA) 牧师, 力量(PSA) (PSA) 牧师","该法术修复你所触碰一个物件上的一处破损或裂缝，例如修复一条断裂的链条、一把碎成两半的钥匙、一件撕裂的斗篷、一个漏了的酒袋等。只要破损或断裂处在任意方向上都不超过 1 尺，你就可以不留痕迹地修复它。

该法术可以物理性地修复一件魔法物品，但无法恢复其上的魔法。",
假死术,PHB'24,271,3环,动作,1 小时,死灵 (仪式),触及,"声音, 姿势, 材料 (一把坟土)","吟游诗人 (PHB'24), 德鲁伊 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你触碰一名自愿生物并将其变得如死者般的僵直。

在法术持续时间内，对目标进行的任何肉体检查和法术检测都显示目标已死亡。该状况下的目标陷入目盲以及失能状态，且其速度降至0。

目标对除了心灵伤害外的所有伤害类型具有抗性，也免疫中毒状态。",
假象术,PHB'24,299,5环,动作,"专注, 至多1 小时",幻术,自身,姿势,"吟游诗人 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"妖精漫游者 (PHB'24) 游侠, 幻术师 (PHB'24) 法师","你获得隐形状态，同时在你站的地方出现一个和你一样的幻象分身。分身会持续存在至法术持续时间结束；但如果你发动攻击、造成伤害或施展法术，则隐形随之结束。

以一个魔法动作，你可以令分身以至多两倍于你的速度移动并可以令其打手势、说话，以及以任何你指定的方式行事。它无法被触及且无法受伤。

你可以通过分身的眼睛视物，用分身的耳朵聆听，如同你处于它的位置一样。",
催眠图纹,PHB'24,287,3环,动作,"专注, 至多1 分钟",幻术,120 尺,"姿势, 材料 (一撮五彩纸屑)","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 幻术师 (PHB'24) 法师, 装甲师 (EFA) 奇械师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 诡术 (PHB'24) 牧师, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你在施法距离内一处边长 30 尺的立方区域内创造出一个在空中舞动旋转的彩色图纹。图纹在出现片刻后消失，然后迫使区域内每个看到它的生物进行一次感知豁免，豁免失败者将在法术持续时间内陷入魅惑状态。在被该法术魅惑期间，被该法术魅惑的生物陷入失能状态，且速度降为 0。

如果受术生物受到任何伤害，或有其他生物用动作将其从恍惚中摇醒，则其身上的此效应将提前终止。",
元素召唤术,PHB'24,325,4环,动作,"专注, 至多1 小时",咒法,90 尺,"声音, 姿势, 材料 (一个价值 400+GP 的、装有空气、一块鹅卵石、灰烬与水的镶金瓶)","德鲁伊 (PHB'24), 法师 (PHB'24), 游侠 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 巨灵贵族 (FRHoF) 圣武士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者","你唤来一个元素灵魄。其使用下文元素灵魄的数据，并会在施法距离内一处你可见的未被占据的空间中显现。当你施展法术时，从气、土、火、水中选择一种元素，该生物会显现为由你所选元素组成的二足模糊人影，其数据中的部分特性也受此影响。该生物会在生命值降为 0 或是法术结束时消失。

该生物是你和你盟友的盟友。它在战斗中使用你的先攻，并在你回合结束后立即执行其回合。它遵从于你的口头指令（无需任何动作）。如果你不发令，它将执行回避动作并使用其移动力以远离危险。",升环施法 Using a Higher-Level Spell Slot. 该生物的数据使用新的法术环阶。
元素武器,PHB'24,267,3环,动作,"专注, 至多1 小时",变化,触及,"声音, 姿势","圣武士 (PHB'24), 奇械师 (EFA), 德鲁伊 (PHB'24), 游侠 (PHB'24)",,"逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你触碰的一把非魔法武器变成魔法武器。选择下述伤害类型之一：强酸、寒冷、火焰、闪电、雷鸣。法术持续时间内，用那把武器发动的攻击检定具有 +1 加值，且在命中时造成额外1d4点你所选伤害类型的伤害。,升环施法 Using a Higher-Level Spell Slot. 使用五环或六环法术位时，攻击检定的加值变为 +2，额外伤害变为2d4。使用七环或更高法术位时，攻击检定的加值变为 +3，额外伤害变为3d4。
光亮术,PHB'24,292,戏法,动作,1 小时,塑能,触及,"声音, 材料 (一只萤火虫或萤光苔)","吟游诗人 (PHB'24), 奇械师 (EFA), 术士 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24)",,"塑能师 (PHB'24) 法师, 天界 (PHB'24) 魔契师, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你触碰一个体型不超过大型，且未被他人携带/着装的物件。在法术终止前，物件将发出 20 尺半径的明亮光照以及额外 20 尺的微光光照。光的颜色由你决定。

该物件被不透明的东西完全遮盖时，其光照也将被遮挡。此法术将在你再次施展它时提前终止。",
光导箭,PHB'24,282,1环,动作,1 轮,塑能,120 尺,"声音, 姿势",牧师 (PHB'24),,"制图师 (EFA) 奇械师, 咒火 (FRHoF) 术士, 天界 (PHB'24) 魔契师, 战争 (PHB'24) 牧师, 星辰 (PHB'24) 德鲁伊, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 荣耀 (PHB'24) 圣武士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你向施法距离内的一名生物掷出一道光箭。对目标进行一次远程法术攻击。命中时，目标受4d6点光耀伤害。在你下个回合结束前，对目标发动的下一次攻击检定具有优势。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比一环高一环，此法术的伤害就增加1d6点。
光耀祷词,PHB'24,343,戏法,动作,立即,塑能,自身,"声音, 材料 (一枚艳阳标志)",牧师 (PHB'24),,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",灼热的光辉喷薄而出，覆盖你周身 5 尺光环区域。每个区域中你可见且受你选择的生物必须通过一次体质豁免，否则受到1d6点光耀伤害。,戏法强化 Cantrip Upgrade. 当你达到以下等级时，伤害增加1d6，5 级（2d6），11 级（3d6）和17 级（4d6）。
克敌先击,PHB'24,336,戏法,动作,立即,预言,自身,"姿势, 材料 (一把价值 1+CP 的你熟练的武器)","吟游诗人 (PHB'24), 奇械师 (EFA), 术士 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 预言师 (PHB'24) 法师",你受到一瞬魔法洞见的指引，使用施展此法术时使用的那把武器发动一次攻击。此次攻击使用你的施法属性（而非力量属性或敏捷属性）进行攻击检定与伤害掷骰。此次攻击造成伤害时，你可以选择将其伤害类型改为光耀伤害，或是维持武器原本的伤害类型。,戏法强化 Cantrip Upgrade. 到达特定等级后，无论你选择造成光耀伤害还是原本类型的伤害，本次攻击都会额外造成光耀伤害：5 级（1d6）、11 级（2d6）、17 级（3d6）。
