名称,来源,页码,Rarity,Type,Attunement,Damage,Properties,Mastery,Weight,Value,Text
+1 契约掌控者权杖,DMG'24,301,uncommon,权杖,需要由魔契师同调,,,,2 磅,,"当持握这根权杖时，你的魔契师法术的法术攻击检定和豁免DC获得 +1 加值。

此外，持握这根权杖期间，你能够以一个魔法动作恢复一个法术位。该词条一经使用，你在完成一次长休后都无法再次使用。"
+1 左轮枪,DMG'24,324,uncommon,"武器 (左轮枪), 现代, 军用武器, 远程武器, 枪械",,2d8 穿刺,"弹容 (6 发), 弹药 (40/120\xa0尺; 枪械子弹)",精通: 削弱,3 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 现代火器使用后，子弹即被销毁。未来式枪械使用的是能量单元，这些能量单元在耗尽时可能通过适当的设备进行再充电，具体由游戏主持人决定。

弹容 Reload. 你可以使用重新装填武器进行有限次数的射击。然后，你必须以一个动作或附赠动作的方式重新装填武器。

精通: 削弱. 当你用这把武器命中一个生物时，直到你的下一回合开始前，该生物的下一次攻击检定将具有劣势。"
+1 巨剑,DMG'24,324,uncommon,"武器 (巨剑), 军用武器, 近战武器",,2d6 挥砍,"双手, 重型",精通: 擦掠,6 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

重型 Heavy. 如果你的力量属性值低于 13 点，则你用重型近战武器发动的攻击检定具有劣势；如果你的敏捷属性值低于 13 点，则你用重型远程武器发动的攻击检定具有劣势。

双手 Two-Handed. 用双手武器攻击时，你需要双手并用。

精通: 擦掠. 当你以这把武器对一个生物发动的攻击检定失手时，你仍可以对目标生物造成一定伤害。其数额等同于此次攻击所使用的属性调整值，其伤害类型与你所使用的武器一致，并且这个伤害只能通过属性调整值的提高而增长。"
+1 巨斧,DMG'24,324,uncommon,"武器 (巨斧), 军用武器, 近战武器",,1d12 挥砍,"双手, 重型",精通: 横扫,7 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

重型 Heavy. 如果你的力量属性值低于 13 点，则你用重型近战武器发动的攻击检定具有劣势；如果你的敏捷属性值低于 13 点，则你用重型远程武器发动的攻击检定具有劣势。

双手 Two-Handed. 用双手武器攻击时，你需要双手并用。

精通: 横扫. 当你用这把武器进行的近战攻击检定命中一个生物时，你可以用该武器对位于该生物 5 尺内，且同样身处你触及范围内的另一生物再进行一次近战攻击检定。命中时，第二个生物也会受到此武器的伤害，但你无法将你的属性调整值加入这次伤害中（除非该调整值为负数）。每个回合中你只能发动一次横扫的额外攻击。"
+1 巨棒,DMG'24,324,uncommon,"武器 (巨棒), 简易武器, 近战武器",,1d8 钝击,双手,精通: 推离,10 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

双手 Two-Handed. 用双手武器攻击时，你需要双手并用。

精通: 推离. 当你用这把武器命中一个生物时，如果该生物的体型不超过大型，则你可以将这个生物从你身边直线推离至多 10 尺。"
+1 巨锤,DMG'24,324,uncommon,"武器 (巨锤), 军用武器, 近战武器",,2d6 钝击,"双手, 重型",精通: 失衡,10 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

重型 Heavy. 如果你的力量属性值低于 13 点，则你用重型近战武器发动的攻击检定具有劣势；如果你的敏捷属性值低于 13 点，则你用重型远程武器发动的攻击检定具有劣势。

双手 Two-Handed. 用双手武器攻击时，你需要双手并用。

精通: 失衡. 如果你用此武器击中一个生物，你可以迫使该生物进行一次体质豁免检定（DC 8 加上用于进行攻击掷骰的能力调整值以及你的熟练加值）。豁免失败时，该生物获得倒地状态。"
+1 布甲,DMG'24,230,rare,轻甲 (布甲),,AC 11 + 敏捷,,,8 磅,,"穿戴这件护甲时，你的AC有+1的加值。

穿戴者在敏捷(隐匿)检定上具有劣势。"
+1 弩矢,DMG'24,228,uncommon,弹药 (弩矢),,,,,1.2 oz.,,"使用这件魔法弹药进行攻击和伤害判定时，你会获得+1的额外加成。一旦击中目标，弹药将不再具有魔法效果。

弩箭是与具有弹药属性的武器一起使用的，用于进行远程攻击。每次你用武器攻击时，都会消耗一枚弹药。从箭袋、盒子或其他容器中取出弹药是攻击的一部分（你需要一个空闲的手来装填单手武器）。战斗结束后，你可以花一分钟在战场上搜寻，回收你消耗的一半弹药。

弩矢通常存放在 弩矢匣 中（需单独购买）。"
+1 弯刀,DMG'24,324,uncommon,"武器 (弯刀), 军用武器, 近战武器",,1d6 挥砍,"灵巧, 轻型",精通: 迅击,3 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

灵巧 Finesse. 使用一把灵巧武器发动攻击时，你可以自由选择此次攻击检定与伤害掷骰使用力量调整值还是敏捷调整值。但是攻击检定与伤害掷骰必须使用同一个调整值。

轻型 Light. 当你在自己回合中执行攻击动作，并用一把轻型武器发动一次攻击后，你可以在同一回合中用附赠动作发动一次额外的攻击。这次额外的攻击你必须使用另一把轻型武器发动，并且这次攻击的伤害无法加入你的属性调整值（除非该调整值为负数）。例如，若你在你的回合中执行了攻击动作，一只手手持短剑，另一只手手持匕首，而这两把武器均有轻型词条，则你可以使用你的动作和附赠动作，来用这两把武器各发动一次攻击。但你不能将力量或敏捷调整值加入附赠动作攻击武器的造成的伤害中（除非该调整值为负数）。

精通: 迅击. 当你进行轻型属性的额外攻击时，你可以将其作为攻击动作的一部分进行，而不是作为附赠动作。每个回合中你只能进行这一次额外攻击。"
+1 弹药,DMG'24,228,uncommon,"弹药, 通用变体",,,,,,,"你在使用这种魔法弹药进行攻击和伤害掷骰时获得+1加值。一旦它击中目标，弹药不再具有魔法效果。

这种弹药通常以十或二十件的数量被发现或出售。十件这种弹药的价值等同于相同稀有度的一瓶药水 (200 GP)。

基础物品 Base items. 这个变体物品可以应用于以下基础物品:

弩矢 (+1 弩矢)投石索子弹 (+1 投石索子弹)枪械子弹 (+1 枪械子弹)箭 (+1 箭)能量电池 (+1 能量电池)针 (+1 针)"
+1 战斧,DMG'24,324,uncommon,"武器 (战斧), 军用武器, 近战武器",,1d8 挥砍,多用 (1d10),精通: 失衡,4 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

多用 Versatile. 多用武器可以单手使用也可以双手使用。该词条后将跟随一个括号，其内的伤害数值即为双手持用该武器进行近战攻击时的伤害。

精通: 失衡. 如果你用此武器击中一个生物，你可以迫使该生物进行一次体质豁免检定（DC 8 加上用于进行攻击掷骰的能力调整值以及你的熟练加值）。豁免失败时，该生物获得倒地状态。"
+1 战法师魔杖,DMG'24,322,uncommon,魔杖,需要由施法者同调,,,,1 磅,,持握这根魔杖时，你的法术攻击检定获得 +1 加值。此外，你在进行法术攻击检定时无视半身掩护。
+1 战锤,DMG'24,324,uncommon,"武器 (战锤), 军用武器, 近战武器",,1d8 钝击,多用 (1d10),精通: 推离,5 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

多用 Versatile. 多用武器可以单手使用也可以双手使用。该词条后将跟随一个括号，其内的伤害数值即为双手持用该武器进行近战攻击时的伤害。

精通: 推离. 当你用这把武器命中一个生物时，如果该生物的体型不超过大型，则你可以将这个生物从你身边直线推离至多 10 尺。"
+1 战镐,DMG'24,324,uncommon,"武器 (战镐), 军用武器, 近战武器",,1d8 穿刺,多用 (1d10),精通: 削弱,2 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

多用 Versatile. 多用武器可以单手使用也可以双手使用。该词条后将跟随一个括号，其内的伤害数值即为双手持用该武器进行近战攻击时的伤害。

精通: 削弱. 当你用这把武器命中一个生物时，直到你的下一回合开始前，该生物的下一次攻击检定将具有劣势。"
+1 手弩,DMG'24,324,uncommon,"武器 (手弩), 军用武器, 远程武器",,1d6 穿刺,"弹药 (射程 30/120\xa0尺; 弩矢), 装填, 轻型",精通: 侵扰,3 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 使用具有弹药属性的武器发动远程攻击时，你必须拥有该武器需求的弹药。所需弹药的种类会与武器的射程写在一起。每次使用该武器攻击都会花费一枚弹药，且取出该弹药的行为视为此次攻击的一部分（你需要一只空手来为一把单手武器的弹药上膛或上弦）。在战斗结束后，你可以花费一分钟搜索战场，以回收你在战斗中所消耗的弹药的一半（向下取整），而剩下的那些弹药将会损失。

轻型 Light. 当你在自己回合中执行攻击动作，并用一把轻型武器发动一次攻击后，你可以在同一回合中用附赠动作发动一次额外的攻击。这次额外的攻击你必须使用另一把轻型武器发动，并且这次攻击的伤害无法加入你的属性调整值（除非该调整值为负数）。例如，若你在你的回合中执行了攻击动作，一只手手持短剑，另一只手手持匕首，而这两把武器均有轻型词条，则你可以使用你的动作和附赠动作，来用这两把武器各发动一次攻击。但你不能将力量或敏捷调整值加入附赠动作攻击武器的造成的伤害中（除非该调整值为负数）。

装填 Loading. 当你使用动作、附赠动作或反应来射击装填类武器时，你只能发射一枚弹药，不管你通常可以进行多少次攻击。

精通: 侵扰. 当你用这把武器命中一个生物并对其造成伤害时，直到你的下一回合结束前，你对该生物的下一次攻击检定将具有优势。"
+1 手斧,DMG'24,324,uncommon,"武器 (手斧), 简易武器, 近战武器",,1d6 挥砍,"投掷 (20/60 尺), 轻型",精通: 侵扰,2 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

轻型 Light. 当你在自己回合中执行攻击动作，并用一把轻型武器发动一次攻击后，你可以在同一回合中用附赠动作发动一次额外的攻击。这次额外的攻击你必须使用另一把轻型武器发动，并且这次攻击的伤害无法加入你的属性调整值（除非该调整值为负数）。例如，若你在你的回合中执行了攻击动作，一只手手持短剑，另一只手手持匕首，而这两把武器均有轻型词条，则你可以使用你的动作和附赠动作，来用这两把武器各发动一次攻击。但你不能将力量或敏捷调整值加入附赠动作攻击武器的造成的伤害中（除非该调整值为负数）。

投掷 Thrown. 如果一把武器具有投掷属性，你可以把它投掷出去来发动一次远程攻击。同时，拔出这把武器可以视作这次攻击的一部分。如果投掷出去的武器是一把近战武器，则你在攻击检定和伤害掷骰中使用与你用其发动近战攻击时相同的属性调整值。

精通: 侵扰. 当你用这把武器命中一个生物并对其造成伤害时，直到你的下一回合结束前，你对该生物的下一次攻击检定将具有优势。"
+1 手枪,DMG'24,324,uncommon,"武器 (手枪), 军用武器, 远程武器, 枪械",,1d10 穿刺,"弹药 (射程 30/90\xa0尺; 枪械子弹), 装填",精通: 侵扰,3 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 使用具有弹药属性的武器发动远程攻击时，你必须拥有该武器需求的弹药。所需弹药的种类会与武器的射程写在一起。每次使用该武器攻击都会花费一枚弹药，且取出该弹药的行为视为此次攻击的一部分（你需要一只空手来为一把单手武器的弹药上膛或上弦）。在战斗结束后，你可以花费一分钟搜索战场，以回收你在战斗中所消耗的弹药的一半（向下取整），而剩下的那些弹药将会损失。

装填 Loading. 当你使用动作、附赠动作或反应来射击装填类武器时，你只能发射一枚弹药，不管你通常可以进行多少次攻击。

精通: 侵扰. 当你用这把武器命中一个生物并对其造成伤害时，直到你的下一回合结束前，你对该生物的下一次攻击检定将具有优势。"
+1 投石索,DMG'24,324,uncommon,"武器 (投石索), 简易武器, 远程武器",,1d4 钝击,弹药 (射程 30/120\xa0尺; 投石索子弹),精通: 缓速,,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 使用具有弹药属性的武器发动远程攻击时，你必须拥有该武器需求的弹药。所需弹药的种类会与武器的射程写在一起。每次使用该武器攻击都会花费一枚弹药，且取出该弹药的行为视为此次攻击的一部分（你需要一只空手来为一把单手武器的弹药上膛或上弦）。在战斗结束后，你可以花费一分钟搜索战场，以回收你在战斗中所消耗的弹药的一半（向下取整），而剩下的那些弹药将会损失。

精通: 缓速. 如果你用这个武器击中一个生物并对其造成伤害，你可以将其速度减少10英尺，直到你的下一回合开始。如果该生物被具有此属性的武器击中不止一次，速度的减少不会超过10英尺。"
+1 投石索子弹,DMG'24,228,uncommon,弹药 (投石索子弹),,,,,1.2 oz.,,"使用这件魔法弹药进行攻击和伤害判定时，你会获得+1的额外加成。一旦击中目标，弹药将不再具有魔法效果。

投石索子弹是与具有弹药属性的武器一起使用的，用于进行远程攻击。每次你用武器攻击时，都会消耗一枚弹药。从箭袋、盒子或其他容器中取出弹药是攻击的一部分（你需要一个空闲的手来装填单手武器）。战斗结束后，你可以花一分钟在战场上搜寻，回收你消耗的一半弹药。

投石索子弹通常存放在小包 中（需单独购买）。"
+1 护甲,DMG'24,230,rare,通用变体,,,,,,,"穿戴这件护甲时，你的AC有+1的加值。

基础物品 Base items. 这个变体物品可以应用于以下基础物品:

兽皮甲 (+1 兽皮甲)半身板甲 (+1 半身板甲)布甲 (+1 布甲)板条甲 (+1 板条甲)板甲 (+1 板甲)环甲 (+1 环甲)皮甲 (+1 皮甲)胸甲 (+1 胸甲)链甲 (+1 链甲)链甲衫 (+1 链甲衫)镶钉皮甲 (+1 镶钉皮甲)鳞甲 (+1 鳞甲)"
+1 板条甲,DMG'24,230,rare,重甲 (板条甲),,AC 17,,,60 磅,,"穿戴这件护甲时，你的AC有+1的加值。

穿戴者在敏捷(隐匿)检定上具有劣势。

如果穿戴者的力量值低于15，那么他的速度就会减少10尺。"
+1 板甲,DMG'24,230,rare,重甲 (板甲),,AC 18,,,65 磅,,"穿戴这件护甲时，你的AC有+1的加值。

穿戴者在敏捷(隐匿)检定上具有劣势。

如果穿戴者的力量值低于15，那么他的速度就会减少10尺。"
+1 枪械子弹,DMG'24,228,uncommon,弹药 (枪械子弹),,,,,⅕ 磅,,"使用这件魔法弹药进行攻击和伤害判定时，你会获得+1的额外加成。一旦击中目标，弹药将不再具有魔法效果。

枪械子弹在现代枪械中使用后会被摧毁。"
+1 标枪,DMG'24,324,uncommon,"武器 (标枪), 简易武器, 近战武器",,1d6 穿刺,投掷 (30/120 尺),精通: 缓速,2 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

投掷 Thrown. 如果一把武器具有投掷属性，你可以把它投掷出去来发动一次远程攻击。同时，拔出这把武器可以视作这次攻击的一部分。如果投掷出去的武器是一把近战武器，则你在攻击检定和伤害掷骰中使用与你用其发动近战攻击时相同的属性调整值。

精通: 缓速. 如果你用这个武器击中一个生物并对其造成伤害，你可以将其速度减少10英尺，直到你的下一回合开始。如果该生物被具有此属性的武器击中不止一次，速度的减少不会超过10英尺。"
+1 武器,DMG'24,324,uncommon,通用变体,,,,,,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

基础物品 Base items. 这个变体物品可以应用于以下基础物品:

三叉戟 (+1 三叉戟)伊库瓦短矛 (+1 伊库瓦短矛)刺剑 (+1 刺剑)匕首 (+1 匕首)半自动手枪 (+1 半自动手枪)双刃弯刀 (+1 双刃弯刀)反物质步枪 (+1 反物质步枪)吹箭筒 (+1 吹箭筒)左轮枪 (+1 左轮枪)巨剑 (+1 巨剑)巨斧 (+1 巨斧)巨棒 (+1 巨棒)巨锤 (+1 巨锤)弯刀 (+1 弯刀)战斧 (+1 战斧)战锤 (+1 战锤)战镐 (+1 战镐)手弩 (+1 手弩)手斧 (+1 手斧)手枪 (+1 手枪)投石索 (+1 投石索)标枪 (+1 标枪)滑膛枪 (+1 滑膛枪)激光手枪 (+1 激光手枪)激光步枪 (+1 激光步枪)狩猎步枪 (+1 狩猎步枪)矛 (+1 矛)短剑 (+1 短剑)短弓 (+1 短弓)短棒 (+1 短棒)硬头锤 (+1 硬头锤)胡帕克杖 (+1 胡帕克杖)自动步枪 (+1 自动步枪)轻型连弩 (+1 轻型连弩)轻弩 (+1 轻弩)轻锤 (+1 轻锤)重弩 (+1 重弩)钉头锤 (+1 钉头锤)钩矛 (+1 钩矛)链枷 (+1 链枷)镰刀 (+1 镰刀)长剑 (+1 长剑)长弓 (+1 长弓)长戟 (+1 长戟)长柄刀 (+1 长柄刀)长棍 (+1 长棍)长矛 (+1 长矛)霰弹枪 (+1 霰弹枪)鞭子 (+1 鞭子)飞镖 (+1 飞镖)骑枪 (+1 骑枪)"
+1 滑膛枪,DMG'24,324,uncommon,"武器 (滑膛枪), 军用武器, 远程武器, 枪械",,1d12 穿刺,"双手, 弹药 (射程 40/120\xa0尺; 枪械子弹), 装填",精通: 缓速,10 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 使用具有弹药属性的武器发动远程攻击时，你必须拥有该武器需求的弹药。所需弹药的种类会与武器的射程写在一起。每次使用该武器攻击都会花费一枚弹药，且取出该弹药的行为视为此次攻击的一部分（你需要一只空手来为一把单手武器的弹药上膛或上弦）。在战斗结束后，你可以花费一分钟搜索战场，以回收你在战斗中所消耗的弹药的一半（向下取整），而剩下的那些弹药将会损失。

装填 Loading. 当你使用动作、附赠动作或反应来射击装填类武器时，你只能发射一枚弹药，不管你通常可以进行多少次攻击。

双手 Two-Handed. 用双手武器攻击时，你需要双手并用。

精通: 缓速. 如果你用这个武器击中一个生物并对其造成伤害，你可以将其速度减少10英尺，直到你的下一回合开始。如果该生物被具有此属性的武器击中不止一次，速度的减少不会超过10英尺。"
+1 激光手枪,DMG'24,324,uncommon,"武器 (激光手枪), 未来, 军用武器, 远程武器, 枪械",,3d6 光耀,"弹容 (50 发), 弹药 (40/120\xa0尺; 能量电池)",精通: 侵扰,2 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 现代火器使用后，子弹即被销毁。未来式枪械使用的是能量单元，这些能量单元在耗尽时可能通过适当的设备进行再充电，具体由游戏主持人决定。

弹容 Reload. 你可以使用重新装填武器进行有限次数的射击。然后，你必须以一个动作或附赠动作的方式重新装填武器。

精通: 侵扰. 当你用这把武器命中一个生物并对其造成伤害时，直到你的下一回合结束前，你对该生物的下一次攻击检定将具有优势。"
